epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8425,1.71492,2.82947,0.89081,0.00023,0.00166,0.00012,4e-05,1.51927,3.76164,0.84351,0.000405983,0.000405983,0.000405983
2,50.6164,1.60852,1.32554,0.854,0.03958,0.26477,0.17221,0.08465,1.4761,2.69035,0.83216,0.000790073,0.000790073,0.000790073
3,54.0577,1.48824,1.13113,0.83837,0.95138,0.19641,0.25087,0.13557,1.33874,1.5826,0.82804,0.00114116,0.00114116,0.00114116
4,57.4731,1.4658,1.07067,0.83548,0.88472,0.25619,0.29947,0.18037,1.27827,0.98231,0.82782,0.0011015,0.0011015,0.0011015
5,60.9053,1.39171,0.9943,0.83027,0.696,0.28645,0.30627,0.17412,1.36707,0.90293,0.82968,0.001052,0.001052,0.001052
6,64.2825,1.30376,0.93563,0.82482,0.69145,0.31076,0.35613,0.20937,1.21308,0.80515,0.82253,0.0010025,0.0010025,0.0010025
7,67.7087,1.34486,0.90864,0.82184,0.65602,0.40282,0.41336,0.24774,1.17298,0.73963,0.81756,0.000953,0.000953,0.000953
8,71.3967,1.30282,0.86291,0.82064,0.79319,0.44421,0.48659,0.30136,1.13709,0.67795,0.81838,0.0009035,0.0009035,0.0009035
9,74.9489,1.26051,0.80785,0.81846,0.80623,0.45677,0.51242,0.31539,1.16647,0.67883,0.81744,0.000854,0.000854,0.000854
10,78.4516,1.2627,0.7845,0.81807,0.80715,0.50428,0.56594,0.35535,1.09522,0.64606,0.81194,0.0008045,0.0008045,0.0008045
11,81.7664,1.26011,0.75729,0.81592,0.82763,0.55272,0.59817,0.37912,1.08998,0.63198,0.81036,0.000755,0.000755,0.000755
12,85.0809,1.2481,0.73863,0.81562,0.8817,0.50131,0.58901,0.36107,1.16036,0.63878,0.81422,0.0007055,0.0007055,0.0007055
13,88.4779,1.2203,0.71946,0.81415,0.86151,0.54666,0.61177,0.3913,1.12885,0.6056,0.80873,0.000656,0.000656,0.000656
14,91.939,1.19916,0.69736,0.8121,0.82487,0.5695,0.60801,0.38697,1.08724,0.59579,0.80924,0.0006065,0.0006065,0.0006065
15,95.304,1.19095,0.68911,0.81166,0.84956,0.54339,0.60019,0.38602,1.07374,0.59244,0.80839,0.000557,0.000557,0.000557
16,99.8187,1.10205,0.69448,0.81191,0.78771,0.51607,0.54207,0.33336,1.11666,0.62582,0.81396,0.0005075,0.0005075,0.0005075
17,103.148,1.11087,0.67381,0.81284,0.87558,0.53683,0.59905,0.38317,1.07636,0.59384,0.80966,0.000458,0.000458,0.000458
18,106.509,1.04949,0.63701,0.80659,0.85944,0.56183,0.6112,0.3922,1.04529,0.57187,0.80744,0.0004085,0.0004085,0.0004085
19,109.939,1.04601,0.62589,0.8067,0.90181,0.49675,0.61304,0.395,1.06248,0.58077,0.80839,0.000359,0.000359,0.000359
20,113.228,1.04104,0.61612,0.80294,0.9205,0.50964,0.62661,0.39428,1.05622,0.57063,0.80731,0.0003095,0.0003095,0.0003095
21,116.521,1.03392,0.60674,0.80516,0.89458,0.53979,0.62479,0.40733,1.01782,0.54883,0.80407,0.00026,0.00026,0.00026
22,119.738,1.00992,0.59799,0.80115,0.91432,0.52749,0.62716,0.39905,1.01256,0.5408,0.80372,0.0002105,0.0002105,0.0002105
23,122.905,0.99673,0.57978,0.80118,0.93133,0.56408,0.65126,0.42222,1.00185,0.53052,0.80289,0.000161,0.000161,0.000161
24,126.022,1.00535,0.57735,0.80062,0.91673,0.54571,0.64058,0.41976,1.00143,0.53227,0.80293,0.0001115,0.0001115,0.0001115
25,129.364,0.97838,0.56509,0.80193,0.90975,0.55376,0.63753,0.41863,0.99535,0.52446,0.80216,6.2e-05,6.2e-05,6.2e-05
